iter	PrecisionAt:top=5	Logloss
211	0.3446428571	0.3019454745
212	0.3464285714	0.3018774285
213	0.3491071429	0.3018118956
214	0.3464285714	0.3017268692
215	0.3464285714	0.3017018371
216	0.3482142857	0.3016390367
217	0.3473214286	0.3014560512
218	0.3482142857	0.301333861
219	0.3491071429	0.3012593943
220	0.3491071429	0.3012269641
221	0.35	0.3011948308
222	0.35	0.3010986174
223	0.35	0.301063319
224	0.3517857143	0.3010036277
225	0.3517857143	0.3009709468
226	0.3482142857	0.3008833985
227	0.35	0.3007793512
228	0.3526785714	0.3006437295
229	0.3535714286	0.3005954881
230	0.3526785714	0.300565242
231	0.3544642857	0.30049143
232	0.3526785714	0.3004542392
233	0.3517857143	0.3003270978
234	0.3508928571	0.3002634915
235	0.3535714286	0.300207756
236	0.3535714286	0.3001714557
237	0.3535714286	0.2999964253
238	0.3544642857	0.2999715886
239	0.35625	0.2998986423
240	0.3553571429	0.299835519
241	0.35625	0.2996977654
242	0.3553571429	0.2996606276
243	0.35625	0.2996000788
244	0.3580357143	0.2995116711
245	0.3544642857	0.2994083375
246	0.3544642857	0.2993750565
247	0.3553571429	0.2992553162
248	0.3571428571	0.2992012788
249	0.3526785714	0.2990935531
250	0.3526785714	0.2989701655
251	0.35625	0.29883472
252	0.3571428571	0.2987614485
253	0.35625	0.2986609531
254	0.3553571429	0.2985648031
255	0.3544642857	0.2984850277
256	0.3535714286	0.2983640855
257	0.3544642857	0.2982626851
258	0.3544642857	0.2982093885
259	0.3571428571	0.2980828985
260	0.3580357143	0.2980177029
261	0.3571428571	0.297866289
262	0.3553571429	0.2977606214
263	0.35625	0.2977161243
264	0.3580357143	0.2976392036
265	0.3607142857	0.2975546381
266	0.3625	0.2974527398
267	0.3633928571	0.2974137604
268	0.3633928571	0.2973523286
269	0.3651785714	0.2972861357
270	0.3651785714	0.2972066485
271	0.3642857143	0.297103059
272	0.3660714286	0.2969564611
273	0.3696428571	0.2969028592
274	0.3714285714	0.2968370261
275	0.3696428571	0.2967747074
276	0.3723214286	0.2966734987
277	0.3732142857	0.2965249759
278	0.375	0.2964190898
279	0.3767857143	0.2963322742
280	0.3776785714	0.2962069424
281	0.3776785714	0.2961426372
282	0.38125	0.296024611
283	0.3821428571	0.2959577134
